home_country,Afghanistan,Angola,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Colombia,Costa Rica,Denmark,Ecuador,Egypt,France,Germany,India,Iraq,Malawi,Malaysia,Mexico,Morocco,Netherlands,Norway,Other,Pakistan,Peru,Poland,Portugal,Qatar,Russia,Saudi Arabia,Singapore,Slovakia,South Africa,Spain,Sweden,Switzerland,Turkey,UAE,UK,USA,Venezuela
Singapore,0,0,0,47534,0,0,0,0,17346,0,0,0,0,0,0,0,0,0,0,10477,0,0,0,0,90597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43741,33766,0
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74868,60710,0,0,0,0,69600,0,0,0,451388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147416,99641,0
Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11204,0,0,0,0,1284,0,8457,0,0,0,0,0,0,0,5128,1969,2301,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,17938,0,0,0,0,0,0,0,0,0,0,0,22475,119557,0,0,0,0,0,0,0,0,0,0,0,0,14114,0,0,20751,26815,0
Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2872,0,0,0,0,0,0,0,0,20360,0,0,0,0,0,0,4528,0,0,0,0,0,0,4240,7740,0,3521,0
Tunisia,0,0,0,0,0,0,2722,0,0,0,0,0,0,0,24291,2644,0,0,0,0,0,0,0,0,19396,0,0,0,0,2947,0,0,0,0,0,0,0,0,0,2198,0,0,0
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7023,19512,0,0,0,0,0,0,10245,0,127425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24490,48106,0
United States,0,0,0,0,0,0,181925,0,130347,0,0,0,0,0,0,143546,127608,0,0,0,0,0,0,0,2329632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387060,0,0
Venezuela,0,0,24597,0,0,0,0,35200,0,20877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100657,0,0,0,0,0,0,0,0,0,0,45297,0,0,0,0,0,40112,0
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13543,2956,0,0,0,0,0,0,0,0,13282,0,0,0,0,1207,5879,2930,0
